number,country,bbl
1,United-States,7969000
2,China,6710000
3,India,4057000
4,Japan,3208000
5,Korea-South,3057000
6,Germany,1836000
7,Italy,1341000
8,Spain,1325000
9,France,1147000
10,Netherlands,1094000
11,United-Kingdom,907100
12,Thailand,875400
13,Taiwan,846400
14,Canada,806700
15,Singapore,783300
16,Belgium,687600
17,Turkey,521500
18,Indonesia,498500
19,Poland,493100
20,Greece,484300
21,Belarus,468400
22,South-Africa,404000
23,Sweden,400200
24,Australia,341700
25,Brazil,297700
26,Portugal,285200
27,Finland,236700
28,Israel,231600
29,Bahrain,226200
30,Philippines,211400
31,Curacao,191300
32,Lithuania,182900
33,Chile,169600
34,Pakistan,168200
35,Malaysia,166000
36,Czechia,155900
37,Austria,146600
38,Romania,145300
39,Bulgaria,133900
40,Hungary,121000
41,Cuba,112400
42,Slovakia,111200
43,New-Zealand,108900
44,Denmark,98240
45,Syria,87660
46,Peru,86060
47,Trinidad-and-Tobago,80860
48,Russia,76220
49,Jordan,67980
50,Ireland,66210
51,Egypt,64760
52,Cote-d'Ivoire,62350
53,Morocco,61160
54,Switzerland,57400
55,Croatia,55400
56,Serbia,40980
57,Uruguay,40200
58,Norway,36550
59,Cameroon,36480
60,Sri-Lanka,33540
61,Jamaica,24360
62,Papua-New-Guinea,22220
63,Bangladesh,21860
64,Bosnia-and-Herzegovina,18480
65,Senegal,17880
66,Tunisia,17580
67,Dominican-Republic,16980
68,Argentina,16740
69,Nicaragua,16180
70,Zambia,12860
71,Kenya,12550
72,Korea-North,10640
73,Sudan,9440
74,Ghana,6220
75,Algeria,5340
76,Ukraine,4720
77,Kyrgyzstan,4480
78,Georgia,2660
79,Kazakhstan,1480
80,Suriname,820
81,Uzbekistan,420
82,Brunei,160
83,Moldova,20
84,Afghanistan,0
85,Albania,0
86,American-Samoa,0
87,Andorra,0
88,Angola,0
89,Antigua-and-Barbuda,0
90,Armenia,0
91,Aruba,0
92,Azerbaijan,0
93,Bahamas-The,0
94,Barbados,0
95,Belize,0
96,Benin,0
97,Bermuda,0
98,Bhutan,0
99,Bolivia,0
100,Botswana,0
101,British-Virgin-Islands,0
102,Burkina-Faso,0
103,Burma,0
104,Burundi,0
105,Cabo-Verde,0
106,Cambodia,0
107,Cayman-Islands,0
108,Central-African-Republic,0
109,Chad,0
110,Colombia,0
111,Comoros,0
112,Congo-Democratic-Republic-of-the,0
113,Congo-Republic-of-the,0
114,Cook-Islands,0
115,Costa-Rica,0
116,Cyprus,0
117,Djibouti,0
118,Dominica,0
119,Ecuador,0
120,El-Salvador,0
121,Equatorial-Guinea,0
122,Eritrea,0
123,Estonia,0
124,Eswatini,0
125,Ethiopia,0
126,Falkland-Islands-(Islas-Malvinas),0
127,Faroe-Islands,0
128,Fiji,0
129,French-Polynesia,0
130,Gabon,0
131,Gambia-The,0
132,Gibraltar,0
133,Greenland,0
134,Grenada,0
135,Guam,0
136,Guatemala,0
137,Guinea,0
138,Guinea-Bissau,0
139,Guyana,0
140,Haiti,0
141,Honduras,0
142,Hong-Kong,0
143,Iceland,0
144,Iran,0
145,Iraq,0
146,Kiribati,0
147,Kosovo,0
148,Kuwait,0
149,Laos,0
150,Latvia,0
151,Lebanon,0
152,Lesotho,0
153,Liberia,0
154,Libya,0
155,Luxembourg,0
156,Macau,0
157,Macedonia,0
158,Madagascar,0
159,Malawi,0
160,Maldives,0
161,Mali,0
162,Malta,0
163,Marshall-Islands,0
164,Mauritania,0
165,Mauritius,0
166,Mexico,0
167,Micronesia-Federated-States-of,0
168,Mongolia,0
169,Montenegro,0
170,Montserrat,0
171,Mozambique,0
172,Namibia,0
173,Nauru,0
174,Nepal,0
175,New-Caledonia,0
176,Niger,0
177,Nigeria,0
178,Niue,0
179,Oman,0
180,Panama,0
181,Paraguay,0
182,Puerto-Rico,0
183,Qatar,0
184,Rwanda,0
185,Saint-Helena-Ascension-and-Tristan-da-Cunha,0
186,Saint-Kitts-and-Nevis,0
187,Saint-Lucia,0
188,Saint-Pierre-and-Miquelon,0
189,Saint-Vincent-and-the-Grenadines,0
190,Samoa,0
191,Sao-Tome-and-Principe,0
192,Saudi-Arabia,0
193,Seychelles,0
194,Sierra-Leone,0
195,Sint-Maarten,0
196,Slovenia,0
197,Solomon-Islands,0
198,Somalia,0
199,South-Sudan,0
200,Svalbard,0
201,Tajikistan,0
202,Tanzania,0
203,Timor-Leste,0
204,Togo,0
205,Tonga,0
206,Turkmenistan,0
207,Turks-and-Caicos-Islands,0
208,Tuvalu,0
209,Uganda,0
210,United-Arab-Emirates,0
211,Vanuatu,0
212,Venezuela,0
213,Vietnam,0
214,Virgin-Islands,0
215,West-Bank,0
216,Yemen,0
217,Zimbabwe,0