number,country,users
1,Libya,60.30
2,Ghana,16.70
3,Sierra-Leone,15.50
4,Maldives,14.00
5,Cyprus,13.40
6,Lesotho,12.50
7,Nepal,12.40
8,Tanzania,12.00
9,Guinea,11.00
10,Kyrgyzstan,10.90
11,Cambodia,10.60
12,Latvia,10.60
13,Ethiopia,10.50
14,Burkina-Faso,10.40
15,Bangladesh,10.20
16,Grenada,10.00
17,Estonia,9.50
18,Turkey,9.10
19,Liberia,9.00
20,Burma,8.90
21,Yemen,8.90
22,Slovenia,8.60
23,Laos,8.00
24,Vietnam,8.00
25,Ireland,7.80
26,Senegal,7.70
27,Czechia,7.50
28,Poland,7.50
29,Hungary,7.40
30,Philippines,7.20
31,Albania,6.80
32,Antigua-and-Barbuda,6.80
33,Monaco,6.80
34,Georgia,6.70
35,Austria,6.50
36,Bhutan,6.30
37,Mali,6.30
38,Panama,6.30
39,Finland,6.20
40,China,6.10
41,Niger,6.00
42,Saint-Lucia,6.00
43,Lithuania,5.90
44,Bahamas-The,5.80
45,Kazakhstan,5.80
46,Singapore,5.70
47,Belarus,5.60
48,Eswatini,5.60
49,India,5.50
50,Romania,5.50
51,Armenia,5.40
52,Eritrea,5.40
53,Pakistan,5.40
54,Madagascar,5.20
55,Malaysia,5.00
56,Saint-Kitts-and-Nevis,5.00
57,Sao-Tome-and-Principe,5.00
58,Togo,5.00
59,Tonga,5.00
60,Canada,4.90
61,Mozambique,4.90
62,Zambia,4.70
63,Korea-South,4.60
64,Sri-Lanka,4.60
65,Honduras,4.50
66,Sudan,4.50
67,Uzbekistan,4.50
68,Vanuatu,4.50
69,Uganda,4.40
70,Syria,4.30
71,Cote-d'Ivoire,4.20
72,Rwanda,4.20
73,Indonesia,4.10
74,Sweden,4.10
75,Anguilla,4.00
76,Spain,4.00
77,Central-African-Republic,3.90
78,Serbia,3.90
79,Taiwan,3.90
80,Bulgaria,3.60
81,El-Salvador,3.60
82,Kenya,3.60
83,Solomon-Islands,3.60
84,Egypt,3.50
85,Greece,3.50
86,Israel,3.50
87,New-Caledonia,3.50
88,Nicaragua,3.50
89,Portugal,3.50
90,Somalia,3.50
91,Faroe-Islands,3.40
92,Switzerland,3.40
93,United-Kingdom,3.40
94,Cameroon,3.30
95,Germany,3.30
96,Netherlands,3.30
97,Papua-New-Guinea,3.30
98,Mauritius,3.20
99,Dominican-Republic,3.10
100,Ukraine,3.10
101,Benin,3.00
102,Bosnia-and-Herzegovina,3.00
103,Iran,3.00
104,Moldova,3.00
105,Qatar,3.00
106,Turks-and-Caicos-Islands,3.00
107,Cabo-Verde,2.90
108,Fiji,2.80
109,Kuwait,2.80
110,Morocco,2.80
111,Argentina,2.70
112,Djibouti,2.70
113,Peru,2.70
114,Slovakia,2.70
115,Angola,2.50
116,Denmark,2.50
117,Guinea-Bissau,2.50
118,Saint-Vincent-and-the-Grenadines,2.50
119,Barbados,2.40
120,Iceland,2.40
121,Seychelles,2.30
122,United-States,2.30
123,Bolivia,2.20
124,Cayman-Islands,2.20
125,Gaza-Strip,2.20
126,Nigeria,2.20
127,West-Bank,2.20
128,Italy,2.10
129,Bermuda,2.00
130,France,2.00
131,Macau,2.00
132,Paraguay,2.00
133,Timor-Leste,2.00
134,Luxembourg,1.90
135,Gabon,1.80
136,Guatemala,1.80
137,New-Zealand,1.80
138,United-Arab-Emirates,1.80
139,Hong-Kong,1.70
140,Congo-Democratic-Republic-of-the,1.60
141,Thailand,1.60
142,Brunei,1.50
143,Norway,1.50
144,Australia,1.40
145,Japan,1.40
146,Jordan,1.40
147,Costa-Rica,1.30
148,Croatia,1.20
149,Kosovo,1.20
150,Malawi,1.20
151,South-Africa,1.20
152,British-Virgin-Islands,1.10
153,Kiribati,1.10
154,Comoros,1.00
155,Cook-Islands,1.00
156,Korea-North,1.00
157,Mauritania,1.00
158,Suriname,1.00
159,Tajikistan,1.00
160,Turkmenistan,1.00
161,Haiti,0.90
162,Jamaica,0.90
163,Iraq,0.70
164,Algeria,0.60
165,Bahrain,0.60
166,Tunisia,0.50
167,Zimbabwe,0.30
168,Belgium,0.20
169,Brazil,0.00
170,Chile,-0.40
171,Namibia,-0.40
172,Belize,-0.60
173,Ecuador,-0.60
174,Mexico,-0.60
175,Gambia-The,-0.80
176,Mongolia,-1.00
177,Russia,-1.00
178,San-Marino,-1.10
179,Cuba,-1.20
180,Samoa,-1.80
181,Afghanistan,-1.90
182,Burundi,-2.00
183,Venezuela,-2.00
184,Puerto-Rico,-2.10
185,Colombia,-2.20
186,Saudi-Arabia,-2.40
187,Congo-Republic-of-the,-3.00
188,Oman,-3.00
189,Malta,-3.30
190,Uruguay,-3.60
191,Azerbaijan,-3.80
192,Chad,-4.00
193,Botswana,-4.20
194,Montenegro,-4.20
195,Trinidad-and-Tobago,-4.30
196,Guyana,-5.00
197,Equatorial-Guinea,-6.90
198,Macedonia,-7.80
199,Dominica,-13.00
200,Montserrat,-21.00
201,Lebanon,-21.10
202,Tuvalu,-26.10